slug,label,imagesUrls,videoIds,originalPrice,salesPrice,categorySlug,sku,stockAmount,amountPerPack,collection,englishDescription,chineseDescription,instructionImageUrls,additionalInfo
tongho-crispy-stem,Tongho Crispy Stem,tongho-crispy-stem-0.jpg,,2.49,1.99,tong-ho,A051,89,1000,"leafy-greens,cool-weather,medium,mild-weather","This Tongho is a serrated leaf type. It has bigger leaf than regular Tongho, long and crispy stem. It resists warm and cold weather. Fast growing and very productive. Can start harvest in 28~36 days from sowing.  A beautiful addition to your plate, as well as having beneficial medicinal properties, chrysanthemum is used to treat chest pain (angina), high blood pressure, type 2 diabetes, fever, cold, headache, dizziness, and swelling. In combination with other herbs, chrysanthemum is also used to treat prostate cancer.",本品种是我公司选育的新一代品种。该品种属花叶类茼蒿，茎叶嫩绿，耐热，耐寒，耐湿，生长速度快，产量高，芳香味宜人，比普通茼蒿叶片大，杆茎细长，底部无杂叶，播种后28～36天可采收。,tongho-crispy-stem-guild.jpg,weight: 4.5g
tongho-serrated-leaf,Tongho Serrated Leaf,tongho-serrated-leaf-0.jpg,,2.49,1.99,tong-ho,A050,48,1000,"leafy-greens,cool-weather,medium,mild-weather","This highly valued green is an edible chrysanthemum also known as Tongho in China.  An easy to grow plant that can also be used for microgreens and baby greens. The closer to flowering, the more pungent the flavor becomes. A beautiful addition to your plate, as well as having beneficial medicinal properties, chrysanthemum is used to treat chest pain (angina), high blood pressure, type 2 diabetes, fever, cold, headache, dizziness, and swelling. In combination with other herbs, chrysanthemum is also used to treat prostate cancer.",在中国古代，茼蒿为宫廷佳肴，所以又叫皇帝菜。茼蒿有蒿之清气、菊之甘香。茼蒿属于半耐寒性蔬菜，对光照要求不严，一般以较弱光照为好。其属短日照蔬菜，在冷凉温和。小叶茼蒿又称花叶茼蒿、细叶茼蒿。其叶狭小，缺刻多而深，绿色，叶肉较薄，香味浓；茎枝较细，生长快；抗寒性较强，但不太耐热，成熟较早。,tongho-serrated-leaf-guild.jpg,weight: 4.5g
green-bean-9-seeds-king,Green Bean 9 Seeds King,green-bean-9-seeds-king-0.jpg,8BFTV3o2AR8,2.49,,green-bean,B045,134,25,"beans-and-peas,medium,mild-weather,warm-weather","Early-maturing and high-yielding, the Nine-seeds white pods green bean is suitable for cultivation in cool and mild climates. The plants grow vigorously, reaching a height of over 2 meters. The seeds are brown, and the pod-setting rate is high. The pods are cylindrical, white-green, and about 23 centimeters long. The leaves are deep green, and the flowers are white. The first flower cluster appears at nodes 2-3, bearing 4 pods with extremely high yields. The time from sowing to harvest is around 55 days, and it has strong disease resistance.

When the Nine-Grain White bean pods are young, they are light green, turning white and plump as they mature. The fiber in the pods is maninly on both sides and can be easily pulled out. The beans themselves have minimal fiber, making them resistant to aging. They have a soft and delicate texture after fully cooked, a rich bean aroma, and are an outstanding variety of yardlong beans. Highly recommended!","早熟高产九粒白品种，适合在凉爽温和的气候条件下种植。植株生长旺盛，可长到高2米以上，种子土褐色，座果率高，荚色白绿圆棍型，荚长23厘米左右。叶色深绿白花。第一花序着生在2-3节，结荚4个，产量极高。从播种至收期55天左右，抗病力强。

九粒白豆荚嫩的时候为浅绿色，成熟了以后豆荚变成白色，圆滚饱满。豆荚的纤维集中在两侧，可以很容易拉出来，豆身几乎没有纤维，所以不易老化，口感绵软细腻，豆香味浓郁，是非常优秀的芸豆品种。强力推荐！",green-bean-9-seeds-king-guild.jpg,weight: 14g
celtuce-red-crispy,Celtuce Red Crispy,celtuce-red-crispy-0.jpg,BbQUo4xVkls,2.49,1.99,celtuce,E045,147,1000,"stem-vegetables,cool-weather,medium,mild-weather","This Red Crispy is late maturing Celtuce variety. It grows fast with intense and shallow roots. Leaf is long sword shape, pointed end, wrinkle surface, purple green color. Stem is upright, and will grow into thick stick shape, 40~60 cm long, 5~6 diameter. Skin is light purple thin skin with green flesh, crispy with great fragrance.",该品种为晚熟品种，生长快速，根系浅而密集，叶披针形，叶尾尖，叶面皱，有突起，叶品绿紫色，茎直立，膨大后形成棍棒状，肉质茎长40～60cm左右，横径约5～6cm左右，外皮呈淡紫红色，肉翠绿色，皮薄，香味浓，口感好。,celtuce-red-crispy-guild.jpg,weight: 4g
celtuce-big-head,Celtuce Big Head,"celtuce-big-head-0.jpg, celtuce-big-head-1.jpg",BbQUo4xVkls,2.49,,celtuce,E046,139,1000,"stem-vegetables,cool-weather,medium,mild-weather","This is an early maturing Celtuce. ~80 days from sowing to harvest. Light green leaves, long sword shape with pointed tip. Stem has white skin and green flesh. Both leaves and stem are crispy with nice fragrance. Single plant can weigh up to 1.5kg. One of the best celtuce variety. ",早熟，叶淡绿色，披针形，皮白，生长期80天左右，肉和叶脆嫩，微香，叶肉生熟均可食用，单株重达1.5kg，是国内最优品种之一。,celtuce-big-head-guild.jpg,weight: 3.6g
lettuce-italian-green,Lettuce Italian Green,lettuce-italian-green-0.jpg,"PdUlTVKipgg,J3RDgGTtGPk,gC90uaQ0Cbs",2.49,1.99,lettuce,A100,100,1000,"cool-weather,easy,mild-weather,leafy-greens","The variety of lettuce has nice shape, crispy and delicious. Excellent quality. It has better tolerance to hot/cold climate, bolt late. It can be grown all year round in tropical and subtropical areas. Very productive. About 50 days from sowing to harvest.",菜型美观，爽脆味甜，品质好。更难得的品质是耐热耐寒，耐抽薹，可全年种植，即使在最炎热的春夏雨季和5～8月，亦可正常生长，同时保持优良品质，不带苦味，持续采收期长，产量高，50天采收。,lettuce-italian-green-guild.jpg,weight: 4g
bok-choy-dark-beauty,Bok Choy Dark Beauty,bok-choy-dark-beauty-0.jpg,,2.49,,bok-choy,A089,43,500,"leafy-greens,cool-weather,mild-weather,warm-weather,very-easy","High-quality black leafy green vegetable variety. The plants are upright, with a height of about 20 centimeters and a spread of around 30 centimeters. They are relatively compact, with deep green and glossy leaves that are thick, ensuring excellent quality. Each plant can weigh up to 500 grams. The taste is rich with a nice sweetness, and the quality is even better during frosty weather in the autumn and winter seasons.",优质黑叶小青菜品种。植株直立，株高约20厘米，开展度约30厘米，较束腰，叶片深绿油亮，叶片厚，品质优秀。单株重可大500g。味道丰富带微甜，秋冬时节碰上霜冻天气，品质更佳。,bok-choy-dark-beauty-guild.jpg,weight: 4g
bok-choy-jade-star,Bok Choy Jade Star,bok-choy-jade-star-0.jpg,QM4-1ApxSyA,2.49,,bok-choy,A083,110,1000,"leafy-greens,cool-weather,mild-weather,warm-weather,very-easy","Heat resistant Bok Choy, plant is upright and large, ~24 cm tall, ~30 cm wide. Round leaf is green and wavy, pale green petiole is wide and short. Single plant can grow ~16 leaves and weighs up to 800g. It could be grown for baby/young plant or a full size.",耐热青梗菜，株型中大而直立，束腰。成株株高24cm，开展度30cm＊30cm；叶片绿色，卵圆形，叶缘不平呈波状，长24cm，宽15cm，叶柄绿白色、稍短（4.5cm）而宽（6.2cm)；单株叶片16，重可达800克秋季栽培20天可采收菜秧，冬春栽培则需50-60天。移栽株行距22cm＊25cm，适温季节30天即可采收大棵菜。,bok-choy-jade-star-guild.jpg,weight: 5g
wu-choy-shutters,Wu Choy Shutters,wu-choy-shutters-0.jpg,"00CR2n5qcOo,PKA-L5GcDy4",2.49,1.99,wu-choy,A092,45,500,"cold-weather,cool-weather,mild-weather,easy,leafy-greens","This specialty Bok Choy grows close to ground, open up 15~20 cm wide. Round dark green leaves with wrinkles. Leaves stack tightly to form a beautiful sunflower shape. 70~90 days from sowing to maturing. It likes cool weather and tolerant to cold. Frost and cold weather will promote excellent texture and flavor.  It is the best to grow in late summer or autumn to let it grow into cold winter or through winter. When Wu Choy exposes to low temperature (-5 C to 5 C) for more than 2 weeks,  Wu Choy Shutter will grow flat dark green layers of leaves which have crispy and favorable tastes. ","植株紧贴地面生长，开展度15cm×20cm。叶片近圆形，长4-5cm，宽4-5cm，叶面多皱，叶色墨绿，有光泽，全缘，叶尖略向叶背翻卷。叶片排列紧密。叶柄绿色，扁平，长5-6cm，宽1.5cm。成熟后植株中心叶片稍隆起，单株重150g左右。早熟，生长期70-90天。抗寒力强，质地柔嫩，纤维少，经霜，雪后食用，甜味浓，品质更佳。供熟食用。

乌菜系列适合夏末（北方）或者秋季种植。乌菜在低温（-5度到5度）中持续两周以上时，乌塌菜会紧贴地面长出层层叠叠的油黑的叶子，味道丰富，品质优良，是难得的美味。",wu-choy-shutters-guild.jpg,weight: 3.5g
yu-choy-sum-70s,Yu Choy Sum 70s,yu-choy-sum-70s-0.jpg,"QxVrTCtGiEc,6mvFfijsZ1A",2.49,0.99,yu-choy-sum,C055,166,1000,"flower-vegetables,cool-weather,mild-weather,easy,warm-weather","This variety of Yu Choy Sum is suitable to grow in tropical and subtropical area. Plants are shining green color, consistent with great flavor and nice sweetness. Easy to grow and very productive. For beginners: For early spring cropping, under low temperature(<55 F) Choy Sum may bolt early due to vernalization
",比一般品种更适合在热带亚热带各地种植。整齐度好，商品性强，风味甘甜，翠绿油亮，产量高。新手注意：早春低温(<12 C)时，种植菜心，可能由于春化作用，导致早抽薹。,yu-choy-sum-70s-guild.jpg,weight: 5g
